,Name,Country,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze,individual_gold,individual_silver,individual_bronze
5892,Crista Cullen,Great Britain,26,182.0,75.0,F,Hockey,Women's Hockey,,,,,,,
5893,Elizabeth Storry,Great Britain,34,173.0,74.0,F,Hockey,Women's Hockey,,,,,,,
5894,Emily Maguire,Great Britain,24,169.0,61.0,F,Hockey,Women's Hockey,,,,,,,
5895,Georgie Twigg,Great Britain,21,170.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5896,Hannah Macleod,Great Britain,28,172.0,67.0,F,Hockey,Women's Hockey,,,,,,,
5897,Helen Richardson,Great Britain,30,165.0,54.0,F,Hockey,Women's Hockey,,,,,,,
5898,Kate Walsh,Great Britain,32,171.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5899,Laura Bartlett,Great Britain,24,169.0,63.0,F,Hockey,Women's Hockey,,DUJARDIN,,,,,
5900,Laura Unsworth,Great Britain,24,157.0,54.0,F,Hockey,Women's Hockey,,,,,,,
5901,Natalie Seymour,Great Britain,25,168.0,56.0,F,Hockey,Women's Hockey,,,,,,,
5902,Nicola White,Great Britain,24,170.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5903,Sally Walton,Great Britain,31,180.0,68.0,F,Hockey,Women's Hockey,,,,,,,
5904,Sarah Thomas,Great Britain,31,163.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5905,Ai Murakami,Japan,27,158.0,53.0,F,Hockey,Women's Hockey,,,,,,,
5906,Akane Shibata,Japan,24,152.0,50.0,F,Hockey,Women's Hockey,,,,,,,
5907,Akemi Kato,Japan,41,161.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5908,Aki Mitsuhashi,Japan,22,166.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5909,Chie Akutsu,Japan,27,155.0,51.0,F,Hockey,Women's Hockey,,,,,,,
5910,Izuki Tanaka,Japan,20,167.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5911,Kaori Fujio,Japan,31,157.0,51.0,F,Hockey,Women's Hockey,,,,,,,
5912,Keiko Manabe,Japan,25,154.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5913,Masako Sato,Japan,24,160.0,56.0,F,Hockey,Women's Hockey,,,,,,,
5914,Mika Iimura,Japan,26,157.0,52.0,F,Hockey,Women's Hockey,,,,,,,
5915,Miyuki Nakagawa,Japan,25,161.0,52.0,F,Hockey,Women's Hockey,,,,,,,
5916,Nagisa Hayashi,Japan,25,165.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5917,Rika Komazawa,Japan,30,161.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5918,Ryoko Oie,Japan,24,167.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5919,Sachimi Iwao,Japan,36,152.0,53.0,F,Hockey,Women's Hockey,,,,,,,
5920,Sakiyo Asano,Japan,25,164.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5921,Shiho Otsuka,Japan,22,158.0,52.0,F,Hockey,Women's Hockey,,,,,,,
5922,Yukari Yamamoto,Japan,31,160.0,53.0,F,Hockey,Women's Hockey,,,,,,,
5923,Caia van Maasakker,Netherlands,23,180.0,67.0,F,Hockey,Women's Hockey,,,,,,,
5924,Carlien Dirkse van den Heuvel,Netherlands,25,170.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5925,Ellen Hoog,Netherlands,26,164.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5926,Eva de Goede,Netherlands,23,169.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5927,Floortje Engels,Netherlands,30,172.0,70.0,F,Hockey,Women's Hockey,,,,,,,
5928,Joyce Sombroek,Netherlands,21,179.0,64.0,F,Hockey,Women's Hockey,,,,,,,
5929,Kelly Jonker,Netherlands,22,159.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5930,Kim Lammers,Netherlands,31,176.0,69.0,F,Hockey,Women's Hockey,,,,,,,
5931,Kitty van Male,Netherlands,24,170.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5932,Lidewij Welten,Netherlands,22,170.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5933,Maartje Goderie,Netherlands,28,158.0,50.0,F,Hockey,Women's Hockey,,,,,,,
5934,Maartje Paumen,Netherlands,26,175.0,64.0,F,Hockey,Women's Hockey,,,,,,,
5935,Margot van Geffen,Netherlands,22,171.0,63.0,F,Hockey,Women's Hockey,,,,,,,
5936,Marilyn Agliotti,Netherlands,33,171.0,61.0,F,Hockey,Women's Hockey,,,,,,,
5937,Merel de Blaeij,Netherlands,25,172.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5938,Naomi van As,Netherlands,29,179.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5939,Sophie Polkamp,Netherlands,28,164.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5940,Willemijn Bos,Netherlands,24,181.0,69.0,F,Hockey,Women's Hockey,,,,,,,
5941,Alana Millington,New Zealand,24,171.0,67.0,F,Hockey,Women's Hockey,,,,,,,
5942,Anita Punt,New Zealand,24,163.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5943,Bianca Russell,New Zealand,34,173.0,80.0,F,Hockey,Women's Hockey,,,,,,,
5944,Cathryn Finlayson,New Zealand,23,163.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5945,Charlotte Harrison,New Zealand,23,167.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5946,Clarissa Eshuis,New Zealand,25,176.0,75.0,F,Hockey,Women's Hockey,,,,,,,
5947,Ella Gunson,New Zealand,23,162.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5948,Emily Naylor,New Zealand,26,167.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5949,Gemma Flynn,New Zealand,22,168.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5950,Julia King,New Zealand,19,167.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5951,Katie Glynn,New Zealand,23,174.0,78.0,F,Hockey,Women's Hockey,,,,,,,
5952,Kayla Sharland,New Zealand,26,174.0,73.0,F,Hockey,Women's Hockey,,,,,,,
5953,Krystal Forgesson,New Zealand,29,156.0,63.0,F,Hockey,Women's Hockey,,,,,,,
5954,Melody Cooper,New Zealand,29,169.0,61.0,F,Hockey,Women's Hockey,,,,,,,
5955,Sally Rutherford,New Zealand,31,165.0,66.0,F,Hockey,Women's Hockey,,,,,,,
5956,Samantha Charlton,New Zealand,20,174.0,66.0,F,Hockey,Women's Hockey,,,,,,,
5957,Samantha Harrison,New Zealand,20,170.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5958,Stacey Michelsen,New Zealand,21,173.0,66.0,F,Hockey,Women's Hockey,,,,,,,
5959,Baorong Fu,People's Republic of China,34,166.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5960,Chunling Tang,People's Republic of China,36,163.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5961,Dongxiao Li,People's Republic of China,24,174.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5962,Hongxia Li,People's Republic of China,25,168.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5963,Jiaojiao de,People's Republic of China,22,168.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5964,Lihua Gao,People's Republic of China,32,165.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5965,Meiyu Liang,People's Republic of China,18,166.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5966,Mengyu Wang,People's Republic of China,20,170.0,70.0,F,Hockey,Women's Hockey,,,,,,,
5967,Qingling Song,People's Republic of China,26,174.0,70.0,F,Hockey,Women's Hockey,,,,,,,
5968,Qiuxia Cui,People's Republic of China,21,166.0,63.0,F,Hockey,Women's Hockey,,,,,,,
5969,Sinan Sun,People's Republic of China,23,168.0,70.0,F,Hockey,Women's Hockey,,,,,,,
5970,Wei Ma,People's Republic of China,25,172.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5971,Xiaoxu Xu,People's Republic of China,25,162.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5972,Yang Peng,People's Republic of China,20,163.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5973,Ye Ren,People's Republic of China,26,168.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5974,Yibo Ma,People's Republic of China,31,174.0,70.0,F,Hockey,Women's Hockey,,,,,,,
5975,Darae Kim,Republic of Korea,25,161.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5976,Eunbi Cheon,Republic of Korea,20,162.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5977,Eunji Cho,Republic of Korea,22,165.0,63.0,F,Hockey,Women's Hockey,,,,,,,
5978,Hye Lyoung Han,Republic of Korea,26,163.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5979,Jongeun Kim,Republic of Korea,26,167.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5980,Jonghee Kim,Republic of Korea,26,165.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5981,Ki Ju Park,Republic of Korea,22,167.0,67.0,F,Hockey,Women's Hockey,,,,,,,
5982,Mihyun Park,Republic of Korea,26,160.0,60.0,F,Hockey,Women's Hockey,,,,,,,
5983,Okju Kim,Republic of Korea,24,164.0,57.0,F,Hockey,Women's Hockey,,,,,,,
5984,Sena Cha,Republic of Korea,26,162.0,58.0,F,Hockey,Women's Hockey,,,,,,,
5985,Seon Mi Park,Republic of Korea,30,164.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5986,Seonok Lee,Republic of Korea,31,164.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5987,Seul Ki Cheon,Republic of Korea,23,166.0,72.0,F,Hockey,Women's Hockey,,,,,,,
5988,Soo Ji Jang,Republic of Korea,24,163.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5989,Yoojin Hong,Republic of Korea,23,166.0,59.0,F,Hockey,Women's Hockey,,,,,,,
5990,Younghui Moon,Republic of Korea,29,170.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5991,Youngran Kim,Republic of Korea,27,166.0,63.0,F,Hockey,Women's Hockey,,,,,,,
5992,Yu Mi Jeon,Republic of Korea,23,168.0,65.0,F,Hockey,Women's Hockey,,,,,,,
5993,Bernadette Coston,South Africa,22,164.0,61.0,F,Hockey,Women's Hockey,,,,,,,
5994,Dirkie Chamberlain,South Africa,25,169.0,68.0,F,Hockey,Women's Hockey,,,,,,,
5995,Illse Davids,South Africa,25,163.0,55.0,F,Hockey,Women's Hockey,,,,,,,
5996,Jennifer Wilson,South Africa,33,167.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5997,Kate Woods,South Africa,30,168.0,64.0,F,Hockey,Women's Hockey,,,,,,,
5998,Lauren Penny,South Africa,25,169.0,62.0,F,Hockey,Women's Hockey,,,,,,,
5999,Lenise Marais,South Africa,27,159.0,52.0,F,Hockey,Women's Hockey,,,,,,,
6000,Lesle-Ann George,South Africa,26,156.0,54.0,F,Hockey,Women's Hockey,,,,,,,
6001,Lisa-Marie Deetlefs,South Africa,24,169.0,63.0,F,Hockey,Women's Hockey,,,,,,,
6002,Mariette Rix,South Africa,31,166.0,63.0,F,Hockey,Women's Hockey,,,,,,,
6003,Marsha Marescia,South Africa,29,165.0,56.0,F,Hockey,Women's Hockey,,,,,,,
6004,Nicolene Terblanche,South Africa,24,160.0,62.0,F,Hockey,Women's Hockey,,,,,,,
6005,Pietie Coetzee,South Africa,33,176.0,69.0,F,Hockey,Women's Hockey,,,,,,,
6006,Shelley Russell,South Africa,25,163.0,60.0,F,Hockey,Women's Hockey,,,,,,,
6007,Sulette Damons,South Africa,22,163.0,57.0,F,Hockey,Women's Hockey,,,,,,,
6008,Tarryn Bright,South Africa,29,174.0,71.0,F,Hockey,Women's Hockey,,,,,,,
6009,Vuyisanani Mangisa,South Africa,24,162.0,56.0,F,Hockey,Women's Hockey,,,,,,,
6010,Amy Tran-Swensen,United States of America,31,163.0,61.0,F,Hockey,Women's Hockey,,,,,,,
6011,Caroline Nichols,United States of America,27,163.0,64.0,F,Hockey,Women's Hockey,,,,,,,
6012,Claire Laubach,United States of America,29,173.0,70.0,F,Hockey,Women's Hockey,,,,,,,
6013,Jaclyn Kintzer,United States of America,24,168.0,63.0,F,Hockey,Women's Hockey,,,,,,,
6014,Julia Reinprecht,United States of America,21,160.0,57.0,F,Hockey,Women's Hockey,,,,,,,
6015,Katelyn Falgowski,United States of America,23,168.0,61.0,F,Hockey,Women's Hockey,,,,,,,
6016,Katherine Reinprecht,United States of America,22,163.0,56.0,F,Hockey,Women's Hockey,,,,,,,
6017,Kathleen O'donnell,United States of America,23,155.0,57.0,F,Hockey,Women's Hockey,,,,,,,
6018,Kayla Bashore-Smedley,United States of America,29,157.0,58.0,F,Hockey,Women's Hockey,,,,,,,
6019,Keli Smith-Puzo,United States of America,33,165.0,66.0,F,Hockey,Women's Hockey,,,,,,,
6020,Lauren Crandall,United States of America,27,160.0,59.0,F,Hockey,Women's Hockey,,,,,,,
6021,Melissa Gonzalez,United States of America,23,163.0,59.0,F,Hockey,Women's Hockey,,,,,,,
6022,Michelle Cesan,United States of America,21,173.0,66.0,F,Hockey,Women's Hockey,,,,,,,
6023,Michelle Kasold,United States of America,25,160.0,57.0,F,Hockey,Women's Hockey,,,,,,,
6024,Michelle Vittese,United States of America,22,160.0,58.0,F,Hockey,Women's Hockey,,,,,,,
6025,Paige Selenski,United States of America,22,170.0,64.0,F,Hockey,Women's Hockey,,,,,,,
6026,Rachel Dawson,United States of America,27,178.0,72.0,F,Hockey,Women's Hockey,,,,,,,
6027,Shannon Taylor,United States of America,25,173.0,66.0,F,Hockey,Women's Hockey,,,,,,,
6028,Anthony Liu,American Samoa,25,,99.0,M,Judo,Men's -100kg,,,,,,,
6029,Cristian Schmidt,Argentina,29,186.0,94.0,M,Judo,Men's -100kg,,,,,,,
6030,Daniel Kelly,Australia,34,185.0,96.0,M,Judo,Men's -100kg,,,,,,,
6031,Elmar Gasimov,Azerbaijan,21,188.0,100.0,M,Judo,Men's -100kg,,,,,,,
6032,Yauhen Biadulin,Belarus,26,191.0,100.0,M,Judo,Men's -100kg,,,,,,,
6033,Elco van der Geest,Belgium,33,190.0,100.0,M,Judo,Men's -100kg,,,,,,,
6034,Amel Mekic,Bosnia and Herzegovina,30,189.0,100.0,M,Judo,Men's -100kg,,,,,,,
6035,Luciano Correa,Brazil,29,190.0,100.0,M,Judo,Men's -100kg,,,,,,,
6036,Oreydi Despaigne,Cuba,30,,99.0,M,Judo,Men's -100kg,,,,,,,
6037,Lukas Krpalek,Czech Republic,21,198.0,100.0,M,Judo,Men's -100kg,,,,,,,
6038,Ramadan Darwish,Egypt,24,184.0,100.0,M,Judo,Men's -100kg,,,,,,,
6039,Thierry Fabre,France,30,184.0,100.0,M,Judo,Men's -100kg,,,,,,,
6040,Dimitri Peters,Germany,28,188.0,100.0,M,Judo,Men's -100kg,YES,,,1.0,,,True
6041,James Austin,Great Britain,29,188.0,100.0,M,Judo,Men's -100kg,,,,,,,
6042,Ariel Zeevi,Israel,35,186.0,100.0,M,Judo,Men's -100kg,,,,,,,
6043,Takamasa Anai,Japan,27,187.0,100.0,M,Judo,Men's -100kg,,,,,,,
6044,Maxim Rakov,Kazakhstan,26,181.0,99.0,M,Judo,Men's -100kg,,,,,,,
6045,Jevgenijs Borodavko,Latvia,25,189.0,100.0,M,Judo,Men's -100kg,,,,,,,
6046,Oumar Kone,Mali,27,,99.0,M,Judo,Men's -100kg,,,,,,,
6047,Tuvshinbayar Naidan,Mongolia,28,178.0,100.0,M,Judo,Men's -100kg,YES,,1,,,True,
6048,Henk Grol,Netherlands,27,190.0,100.0,M,Judo,Men's -100kg,YES,,,1.0,,,True
6049,Hee-Tae Hwang,Republic of Korea,34,175.0,100.0,M,Judo,Men's -100kg,,,,,,,
6050,Daniel Brata,Romania,27,185.0,100.0,M,Judo,Men's -100kg,,,,,,,
6051,Tagir Khaibulaev,Russian Federation,28,176.0,100.0,M,Judo,Men's -100kg,YES,1,,,True,,
6052,Dominic Dugasse,Seychelles,27,188.0,100.0,M,Judo,Men's -100kg,,,,,,,
6053,Teerawat Homklin,Thailand,24,181.0,100.0,M,Judo,Men's -100kg,,,,,,,
6054,Artem Bloshenko,Ukraine,27,187.0,99.0,M,Judo,Men's -100kg,,,,,,,
6055,Ramziddin Sayidov,Uzbekistan,30,180.0,100.0,M,Judo,Men's -100kg,,,,,,,
6056,Hovhannes Davtyan,Armenia,28,167.0,60.0,M,Judo,Men's -60kg,,,,,,,
6057,Arnie Dickins,Australia,20,170.0,60.0,M,Judo,Men's -60kg,,,,,,,
6058,Ludwig Paischer,Austria,30,170.0,60.0,M,Judo,Men's -60kg,,,,,,,
6059,Ilgar Mushkiyev,Azerbaijan,21,166.0,60.0,M,Judo,Men's -60kg,,,,,,,
6060,Jacob Gnahoui,Benin,26,167.0,60.0,M,Judo,Men's -60kg,,,,,,,
6061,Felipe Kitadai,Brazil,23,164.0,60.0,M,Judo,Men's -60kg,YES,,,1.0,,,True
6062,Ratanakmony Khom,Cambodia,29,169.0,55.0,M,Judo,Men's -60kg,,,,,,,
6063,Sergio Pessoa,Canada,23,168.0,60.0,M,Judo,Men's -60kg,,,,,,,
6064,Valtteri Jokinen,Finland,29,164.0,60.0,M,Judo,Men's -60kg,,,,,,,
6065,Sofiane Milous,France,24,168.0,60.0,M,Judo,Men's -60kg,,,,,,,
6066,Betkili Shukvani,Georgia,23,162.0,60.0,M,Judo,Men's -60kg,,,,,,,
6067,Tobias Englmaier,Germany,24,158.0,60.0,M,Judo,Men's -60kg,,,,,,,
6068,Ashley Mckenzie,Great Britain,23,162.0,60.0,M,Judo,Men's -60kg,,,,,,,
6069,Raul Lall,Guyana,18,,59.0,M,Judo,Men's -60kg,,,,,,,
6070,Kenny Godoy,Honduras,26,165.0,60.0,M,Judo,Men's -60kg,,,,,,,
6071,Artiom Arshanski,Israel,20,163.0,60.0,M,Judo,Men's -60kg,,,,,,,
6072,Elio Verde,Italy,24,165.0,60.0,M,Judo,Men's -60kg,,,,,,,
6073,Hiroaki Hiraoka,Japan,27,160.0,60.0,M,Judo,Men's -60kg,YES,,1,,,True,
6074,Yerkebulan Kossayev,Kazakhstan,23,165.0,60.0,M,Judo,Men's -60kg,,,,,,,
6075,Nabor Castillo,Mexico,21,160.0,60.0,M,Judo,Men's -60kg,,,,,,,
6076,Yann Siccardi,Monaco,26,164.0,59.0,M,Judo,Men's -60kg,,,,,,,
6077,Tumurkhuleg Davaadorj,Mongolia,21,172.0,60.0,M,Judo,Men's -60kg,,,,,,,
6078,Yassine Moudatir,Morocco,24,166.0,60.0,M,Judo,Men's -60kg,,,,,,,
6079,Neuso Sigauque,Mozambique,27,165.0,60.0,M,Judo,Men's -60kg,,,,,,,
6080,Jeroen Mooren,Netherlands,27,168.0,60.0,M,Judo,Men's -60kg,,,,,,,
6081,Zakari Gourouza,Niger,30,175.0,60.0,M,Judo,Men's -60kg,,,,,,,
6082,Lamusi A,People's Republic of China,23,170.0,60.0,M,Judo,Men's -60kg,,,,,,,
6083,Juan Postigos,Peru,23,162.0,60.0,M,Judo,Men's -60kg,,,,,,,
6084,Gwang-Hyeon Choi,Republic of Korea,26,165.0,60.0,M,Judo,Men's -60kg,,,,,,,
6085,Arsen Galstyan,Russian Federation,23,170.0,60.0,M,Judo,Men's -60kg,YES,1,,,True,,
6086,Eisa Majrashi,Saudi Arabia,26,,59.0,M,Judo,Men's -60kg,,,,,,,
6087,Tony Lomo,Solomon Islands,28,,59.0,M,Judo,Men's -60kg,,,,,,,
6088,Ludovic Chammartin,Switzerland,27,168.0,60.0,M,Judo,Men's -60kg,,,,,,,
6089,Georgii Zantaraia,Ukraine,24,170.0,60.0,M,Judo,Men's -60kg,,,,,,,
6090,Rishod Sobirov,Uzbekistan,25,160.0,60.0,M,Judo,Men's -60kg,YES,,,1.0,,,True
6091,Javier Guedez,Venezuela,29,160.0,60.0,M,Judo,Men's -60kg,,,,,,,
6092,Ali Khousrof,Yemen,20,170.0,60.0,M,Judo,Men's -60kg,,,,,,,
6093,Ajmal Faizzada,Afghanistan,25,173.0,66.0,M,Judo,Men's -66kg,,,,,,,
6094,Daniel Garcia Gonzalez,Andorra,27,173.0,66.0,M,Judo,Men's -66kg,,,,,,,
6095,Armen Nazaryan,Armenia,30,166.0,66.0,M,Judo,Men's -66kg,,,,,,,
6096,Jayme Mata,Aruba,29,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6097,Ivo DOS Santos,Australia,26,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6098,Tarlan Karimov,Azerbaijan,25,167.0,66.0,M,Judo,Men's -66kg,,,,,,,
6099,Eddermys Sanchez,Belize,32,157.0,66.0,M,Judo,Men's -66kg,,,,,,,
6100,Leandro Cunha,Brazil,31,162.0,66.0,M,Judo,Men's -66kg,,,,,,,
6101,Martin Ivanov,Bulgaria,24,172.0,66.0,M,Judo,Men's -66kg,,,,,,,
6102,Sasha Mehmedovic,Canada,27,173.0,66.0,M,Judo,Men's -66kg,,,,,,,
6103,Alejandro Zuniga,Chile,24,163.0,66.0,M,Judo,Men's -66kg,,,,,,,
6104,Ahmed Awad,Egypt,25,165.0,66.0,M,Judo,Men's -66kg,,,,,,,
6105,Carlos Figueroa,El Salvador,27,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6106,David Larose,France,27,167.0,66.0,M,Judo,Men's -66kg,,,,,,,
6107,Lasha Shavdatuashvili,Georgia,20,167.0,66.0,M,Judo,Men's -66kg,YES,1,,,True,,
6108,Colin Oates,Great Britain,29,181.0,66.0,M,Judo,Men's -66kg,,,,,,,
6109,Miklos Ungvari,Hungary,31,176.0,66.0,M,Judo,Men's -66kg,YES,,1,,,True,
6110,Golan Pollack,Israel,20,175.0,66.0,M,Judo,Men's -66kg,,,,,,,
6111,Francesco Faraldo,Italy,30,168.0,66.0,M,Judo,Men's -66kg,,,,,,,
6112,Masashi Ebinuma,Japan,22,170.0,66.0,M,Judo,Men's -66kg,YES,,,1.0,,,True
6113,Sergey Lim,Kazakhstan,24,164.0,66.0,M,Judo,Men's -66kg,,,,,,,
6114,Ahmed Yousef Elkawiseh,Libya,23,172.0,66.0,M,Judo,Men's -66kg,,,,,,,
6115,Tsagaanbaatar Khashbaatar,Mongolia,28,172.0,66.0,M,Judo,Men's -66kg,,,,,,,
6116,Raymond Ovinou,Papua New Guinea,27,175.0,66.0,M,Judo,Men's -66kg,,,,,,,
6117,Abraham Acevedo,Paraguay,22,,65.0,M,Judo,Men's -66kg,,,,,,,
6118,Pawel Zagrodnik,Poland,24,175.0,66.0,M,Judo,Men's -66kg,,,,,,,
6119,Jun-Ho Cho,Republic of Korea,23,165.0,65.0,M,Judo,Men's -66kg,YES,,,1.0,,,True
6120,Dan Fasie,Romania,25,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6121,Musa Mogushkov,Russian Federation,24,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6122,Rok Draksic,Slovenia,25,166.0,64.0,M,Judo,Men's -66kg,,,,,,,
6123,Sugoi Uriarte,Spain,28,169.0,66.0,M,Judo,Men's -66kg,,,,,,,
6124,Kai-Wen Tu,Taipei (Chinese Taipei),21,169.0,66.0,M,Judo,Men's -66kg,,,,,,,
6125,Serhiy Drebot,Ukraine,25,170.0,66.0,M,Judo,Men's -66kg,,,,,,,
6126,Humaid Alderei,United Arab Emirates,21,,65.0,M,Judo,Men's -66kg,,,,,,,
6127,Mirzahid Farmonov,Uzbekistan,24,165.0,66.0,M,Judo,Men's -66kg,,,,,,,
6128,Ricardo Valderrama,Venezuela,25,164.0,66.0,M,Judo,Men's -66kg,,,,,,,
6129,Rustam Orujov,Azerbaijan,20,179.0,73.0,M,Judo,Men's -73kg,,,,,,,
6130,Kyle Maxwell,Barbados,21,188.0,73.0,M,Judo,Men's -73kg,,,,,,,
6131,Dirk van Tichelt,Belgium,28,173.0,73.0,M,Judo,Men's -73kg,,,,,,,
6132,Bruno Mendonca,Brazil,27,,72.0,M,Judo,Men's -73kg,,,,,,,
6133,Osman Murillo Segura,Costa Rica,26,176.0,73.0,M,Judo,Men's -73kg,,,,,,,
6134,Jaromir Jezek,Czech Republic,25,182.0,73.0,M,Judo,Men's -73kg,,,,,,,
6135,Hussein Hafiz,Egypt,26,165.0,73.0,M,Judo,Men's -73kg,,,,,,,
6136,Ugo Legrand,France,23,175.0,73.0,M,Judo,Men's -73kg,YES,,,1.0,,,True
6137,Nugzar Tatalashvili,Georgia,22,180.0,73.0,M,Judo,Men's -73kg,,,,,,,
6138,Christopher Voelk,Germany,23,179.0,73.0,M,Judo,Men's -73kg,,,,,,,
6139,Emmanuel Nartey,Ghana,29,,72.0,M,Judo,Men's -73kg,,,,,,,
6140,Daniel Williams,Great Britain,23,177.0,73.0,M,Judo,Men's -73kg,,,,,,,
6141,Chi Yip Cheung,"Hong Kong, China",25,175.0,72.0,M,Judo,Men's -73kg,,,,,,,
6142,Josef Palelashvili,Israel,25,178.0,73.0,M,Judo,Men's -73kg,,,,,,,
6143,Riki Nakaya,Japan,23,168.0,73.0,M,Judo,Men's -73kg,YES,,1,,,True,
6144,Rinat Ibragimov,Kazakhstan,26,181.0,73.0,M,Judo,Men's -73kg,,,,,,,
6145,Nyam-Ochir Sainjargal,Mongolia,26,174.0,73.0,M,Judo,Men's -73kg,YES,,,1.0,,,True
6146,Sled Dowabobo,Nauru,29,174.0,73.0,M,Judo,Men's -73kg,,,,,,,
6147,Dex Elmont,Netherlands,28,175.0,73.0,M,Judo,Men's -73kg,,,,,,,
6148,Maher Abu Rmilah,Palestine,28,172.0,72.0,M,Judo,Men's -73kg,,,,,,,
6149,Tomasz Adamiec,Poland,30,171.0,73.0,M,Judo,Men's -73kg,,,,,,,
6150,Joao Pina,Portugal,31,177.0,73.0,M,Judo,Men's -73kg,,,,,,,
6151,Ki-Chun Wang,Republic of Korea,23,171.0,73.0,M,Judo,Men's -73kg,,,,,,,
6152,Mansur Isaev,Russian Federation,25,172.0,73.0,M,Judo,Men's -73kg,YES,1,,,True,,
6153,Aleni Smith,Samoa,29,183.0,73.0,M,Judo,Men's -73kg,,,,,,,
6154,Gideon van Zyl,South Africa,22,180.0,73.0,M,Judo,Men's -73kg,,,,,,,
6155,Rasul Boqiev,Tajikistan,29,170.0,73.0,M,Judo,Men's -73kg,,,,,,,
6156,Sezer Huysuz,Turkey,34,175.0,73.0,M,Judo,Men's -73kg,,,,,,,
6157,Volodymyr Soroka,Ukraine,29,170.0,73.0,M,Judo,Men's -73kg,,,,,,,
6158,Nicholas Delpopolo,United States of America,23,173.0,73.0,M,Judo,Men's -73kg,,,,,,,
6159,Navruz Jurakobilov,Uzbekistan,28,172.0,73.0,M,Judo,Men's -73kg,,,,,,,
6160,Emmanuel Lucenti,Argentina,27,180.0,81.0,M,Judo,Men's -81kg,,,,,,,
6161,Elnur Mammadli,Azerbaijan,24,175.0,81.0,M,Judo,Men's -81kg,,,,,,,
6162,Joachim Bottieau,Belgium,23,180.0,81.0,M,Judo,Men's -81kg,,,,,,,
6163,Leandro Guilheiro,Brazil,28,176.0,81.0,M,Judo,Men's -81kg,,,,,,,
6164,Antoine Valois-Fortier,Canada,22,190.0,81.0,M,Judo,Men's -81kg,YES,,,1.0,,,True
6165,Tomislav Marijanovic,Croatia,30,183.0,81.0,M,Judo,Men's -81kg,,,,,,,
6166,Jaromir Musil,Czech Republic,24,182.0,81.0,M,Judo,Men's -81kg,,,,,,,
6167,Josateki Naulu,Fiji,28,175.0,81.0,M,Judo,Men's -81kg,,,,,,,
6168,Alain Schmitt,France,28,176.0,81.0,M,Judo,Men's -81kg,,,,,,,
